id,name,level,subsystem,branch,academic_year,is_active,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,Form 1A,Form 1,english,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440002,Form 1B,Form 1,english,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440003,Form 2A,Form 2,english,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440004,Form 2B,Form 2,english,technical,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440005,Form 3A,Form 3,english,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440006,Form 3B,Form 3,english,commercial,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440007,Form 4A,Form 4,english,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440008,Form 4B,Form 4,english,technical,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440009,Form 5A,Form 5,english,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440010,Form 5B,Form 5,english,technical,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440011,Sixième A,Sixième,french,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440012,Sixième B,Sixième,french,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440013,Cinquième A,Cinquième,french,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440014,Cinquième B,Cinquième,french,technical,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440015,Quatrième A,Quatrième,french,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440016,Quatrième B,Quatrième,french,commercial,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440017,Troisième A,Troisième,french,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440018,Troisième B,Troisième,french,technical,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440019,Seconde A,Seconde,french,grammar,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
550e8400-e29b-41d4-a716-446655440020,Seconde B,Seconde,french,technical,2024-2025,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
