id,name,room_number,capacity,room_type,building,floor,equipment,is_available,is_active,created_at,updated_at
770e8400-e29b-41d4-a716-446655440001,Room 101,101,30,classroom,Main Building,1,"{whiteboard,projector,chairs,desks}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440002,Room 102,102,30,classroom,Main Building,1,"{whiteboard,projector,chairs,desks}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440003,Room 103,103,30,classroom,Main Building,1,"{whiteboard,projector,chairs,desks}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440004,Room 201,201,30,classroom,Main Building,2,"{whiteboard,projector,chairs,desks}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440005,Room 202,202,30,classroom,Main Building,2,"{whiteboard,projector,chairs,desks}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440006,Science Lab 1,SL1,25,science_lab,Science Building,1,"{microscopes,test_tubes,bunsen_burners,lab_coats}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440007,Science Lab 2,SL2,25,science_lab,Science Building,1,"{microscopes,test_tubes,bunsen_burners,lab_coats}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440008,Computer Lab 1,CL1,20,computer_lab,IT Building,1,"{computers,projector,network,software}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440009,Computer Lab 2,CL2,20,computer_lab,IT Building,1,"{computers,projector,network,software}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440010,Library,LIB,50,library,Main Building,2,"{books,computers,study_tables,quiet_zone}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
770e8400-e29b-41d4-a716-446655440011,Assembly Hall,AH,200,hall,Main Building,1,"{stage,projector,sound_system,chairs}",true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
