id,name,code,description,credits,hours_per_week,subject_type,applicable_subsystems,applicable_branches,applicable_levels,is_active,created_at,updated_at
880e8400-e29b-41d4-a716-446655440001,Mathematics,MATH,Advanced Mathematics,1,6,core,"{english,french}","{grammar,technical,commercial}","{Form 1,Form 2,Form 3,Form 4,Form 5,Sixième,Cinquième,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440002,English Language,ENG,English Language and Literature,1,5,core,"{english}","{grammar,technical,commercial}","{Form 1,Form 2,Form 3,Form 4,Form 5}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440003,Biology,BIO,Biology and Life Sciences,1,4,core,"{english,french}","{grammar,technical}","{Form 3,Form 4,Form 5,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440004,Chemistry,CHEM,Chemistry and Laboratory,1,4,core,"{english,french}","{grammar,technical}","{Form 3,Form 4,Form 5,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440005,Physics,PHY,Physics and Mechanics,1,4,core,"{english,french}","{grammar,technical}","{Form 3,Form 4,Form 5,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440006,History,HIST,World History and Geography,1,3,core,"{english,french}","{grammar,technical,commercial}","{Form 1,Form 2,Form 3,Form 4,Form 5,Sixième,Cinquième,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440007,Geography,GEO,Physical and Human Geography,1,3,core,"{english,french}","{grammar,technical,commercial}","{Form 1,Form 2,Form 3,Form 4,Form 5,Sixième,Cinquième,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440008,French Language,FREN,French Language and Literature,1,5,core,"{french}","{grammar,technical,commercial}","{Sixième,Cinquième,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440009,Spanish Language,SPAN,Spanish Language and Culture,1,3,elective,"{english,french}","{grammar,technical,commercial}","{Form 4,Form 5,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440010,Computer Science,CS,Computer Programming and IT,1,4,core,"{english,french}","{technical}","{Form 3,Form 4,Form 5,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440011,Economics,ECON,Economics and Business Studies,1,3,core,"{english,french}","{commercial}","{Form 4,Form 5,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
880e8400-e29b-41d4-a716-446655440012,Physical Education,PE,Physical Education and Sports,1,2,core,"{english,french}","{grammar,technical,commercial}","{Form 1,Form 2,Form 3,Form 4,Form 5,Sixième,Cinquième,Quatrième,Troisième,Seconde}",true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
