id,teacher_id,subject_id,proficiency_level,years_of_experience,is_primary,is_active,created_at,updated_at
990e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,880e8400-e29b-41d4-a716-446655440001,expert,8,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440001,880e8400-e29b-41d4-a716-446655440005,expert,8,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440002,880e8400-e29b-41d4-a716-446655440002,expert,6,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440002,880e8400-e29b-41d4-a716-446655440008,intermediate,6,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440005,660e8400-e29b-41d4-a716-446655440003,880e8400-e29b-41d4-a716-446655440003,expert,7,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440006,660e8400-e29b-41d4-a716-446655440003,880e8400-e29b-41d4-a716-446655440004,expert,7,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440007,660e8400-e29b-41d4-a716-446655440004,880e8400-e29b-41d4-a716-446655440006,expert,5,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440008,660e8400-e29b-41d4-a716-446655440004,880e8400-e29b-41d4-a716-446655440007,expert,5,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440009,660e8400-e29b-41d4-a716-446655440005,880e8400-e29b-41d4-a716-446655440008,expert,4,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440005,880e8400-e29b-41d4-a716-446655440009,intermediate,4,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440011,660e8400-e29b-41d4-a716-446655440006,880e8400-e29b-41d4-a716-446655440010,expert,9,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440012,660e8400-e29b-41d4-a716-446655440007,880e8400-e29b-41d4-a716-446655440011,expert,6,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
990e8400-e29b-41d4-a716-446655440013,660e8400-e29b-41d4-a716-446655440008,880e8400-e29b-41d4-a716-446655440012,expert,5,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
